gh,transaction,address,tradingfee,miningfee,tradeid
207,a6149176b201eb5f69a83968fe493696af8f2c5cb199ff6aba31db8b70e85012,1HVNM3GB6gkEPW7rMzXUhCgrwqUfhdouN2,0.00010100,0.00015600,99097
207,82adc142df3112b96fdf8305c74ff867ffd6c75554e3d1bdddf9245b51c42fc7,1GEmqM5K5FE9XoMdAZxHhTotLVXhyNTMuY,0.00030300,0.00012160,99097
303,334e2658236426537c8bd58c8bbc53821003f9da29aec11d9cc3722ac3292a22,1Ga72DaCMMjMRt5GVoKC9QZs7g4EM61tRM,0.00037500,0.00003800,AiDVT
304,323d65ba1c7fe463ed415f2ae3a5d46f83ed0b81037a28fac76bedc58a206ccc,16CBbaSASMVN6fUceLKzfKwLzMCyrLnzUA,0.00090060,0.00003800,VftyDShZ
305,59d87f1bd258c60ca4d9627c01d2e75bda4147827ef19eee6b959405ab300e8b,17N2MPRE2HN3z7EwwCefUq2t1YoTizFMEy,0.00003253,0.00007030,uk6vxkn
306,3140a8195187304c1652c9f155c3c868640a3da578fa179900b5f7cc50c0b916,1gZEQF1Gi45dSehoAqWyidS1bDWkc3Bt9,0.00003691,0.00005100,YECMGAG
307,33bce884a77939cf807fbf6d04fa26b869cf8cfad07e2dd7b4397cfa61364b2d,1Nc4mthM5Q2TFP1Pyp9LdrCJqB73iV2sdS,0.00014940,0.00003800,90546
308,026800597c06e54027c92700d03d03d7236f0b29c73c8f2883eb5454b4d19c5e,12VcnH1iSKixeP8YQShU4iqm8xGu2mXm3y,0.00005000,0.00008320,xq5vn7n
310,084528d1487a4e3744b5ce74f3e5aafc7e3d56ab9c4c53141072addbfae16c23,1PBAoaDoF78uyyyMxsDgLzB27wk7Q2cYYp,0.00005000,0.00008320,QZIOEAFM
309,8df5c9f43becc352573adbb6a5085c799bc6987828105f54e0d1116ac50246d8,1AiE7XgAjbscw5ywuMo5jzNzw1yuxBBsek,0.00005000,0.00003120,njfpkyk
311,b46f3a5d2739a2511e93a025de2a4f0c1177babbe257203c4b2e4ca79c755fc3,19CyyYe3qqY3BkUuiv1SupFJ21aNsZvAsq,0.00005000,0.00003800,EVOHESYS
323,9eb76927e4329d5f6d9623c685667abde1812528759214e256bb54c2f1127591,1BZQqzYNK6LaQchNEwmA2m8UazPz49R9ja,0.00028520,0.00008140,aOoHOuC
324,a34467193dbd1c6332486248d1a228a209a6cbf152e21de906ca1e471fff3c69,1FjKxMJZRmUU68bd5U8J8bN7ZBgVNiXupB,0.00013000,0.00005712,581049
327,c9bc0f22412a629c99b02336a25f496706a88c8eed239a624c782e1745594ff9,1KbMxMcnagAFrd6fYcKdogYw3FJh1zeepS,0.00005000,0.00002600,alntlvk
327,f925c836cc6f0628611213362bf640341577b2e7a5d840bb20306658ac0da01b,1CqZFvSq8g4XyY2PrgLheRvEaBanByGfvz,0.00007020,0.00003800,alntlvk
329,cdfc7b7bb73b899b671bfe0272d9da8ba77fdb40f048899b702d3a7011dcb304,1FmATsHKKZvusPaqDnFM3x5rghAonQKUWV,0.00024509,0.00004100,0930567
329,340cc518994925bc496e6f29e31c7f8f449817fe0d011241436f8b4e83a239a4,1Fd4CArtkRLKbkdfDEnsZaZK52AaTzjUrs,0.00062960,0.00003800,0930567
