gh,transaction,address,tradingfee,miningfee,tradeid
259,fbd3c01f5c85b90f90b4637fb82afe6ed990141b166ea646409f7ba745b5bf83,1Czx7ZKhgFT9WoKXEneAtbZaEATd4hD92C,0.00012500,0.00018200,cpdenK
259,590b6f4dbcad92c2d7d11281b34edf4bc51c91e3d557b9f972d99d0667c25214,1MfZnn1FmSKhJiRM85EeJRhQs97uyLLQ7T,0.00012500,0.00033396,cpdenK
259,fdeccac854f0e2164279da18a8d2f0b3d5735bfbcc37c168d1e565137b5d9e5a,15QUj9Z9Anxd4qaS3MRofYyaFR2ndD7RSc,0.00012500,0.00034122,cpdenK
259,83328552a5725ed12b7784bbfa4e91491731c4689a117bfd9b0fdb76541a0672,12KHhKrXXMdgXfNmFZc8Ar5xkUAc5o6tfg,0.00012500,0.00028800,cpdenK
220,a7eb2202d4dae6bf8e81e1136fb8a30a5918fea4906f9904a0a8795001ea5142,1Dw3ZX86NA7ZdpUAGXfo4rUKiMHhTjGJoP,0.00005000,0.00013000,DZTTQMQV
220,13ce38a1a63c99e667f8da32a63f8b8daf61e84794bd751c27356699dfd7e698,1F2gM6i1h1GAcvmL5UgrmxzZjxscpk2yVo,0.00005000,0.00003640,ONWNCIE
220,5c11c08066ff4838e5e767392c1d9386768956e55cb65754bf565d3e4507004e,15PsP6ctw7bD48L2rLLqHV9sDRbFW4NSYb,0.00005000,0.00003640,mxiz2
220,a1aac1cc765beeb2cde666b180ce42c35483727b0e7991990b060a1d4dd30034,19tqBpjJ8F67RdtH52mebEoN3QDGDEvjcD,0.00005000,0.00002600,cfcteei
220,494c13273013084a0b0531261e5f5fdb8a53f8f34453ad5d087abffc5afbca59,1EHQAtUZjqTBdmpXW5nraRskumWj5fuqew,0.00005000,0.00007030,dul52tQ
220,35870e9076a4ef631dfdb649bd0b8d958897a4c57696f072bb28a1e8fed9f521,1Ac9ANEtrvxi7xVcyQnDj6cR8XbWVa2jsY,0.00005000,0.00002600,usaco
220,c56313ddebd0d3139296d2cf020296a55061e5f04638e6bdda0cb97ef26f1221,151GC8Q1DjCdAXkP9DUJw8LUpUBaMER3vw,0.00005000,0.00002600,HlYN3TS
220,dd0611da872357c38b5921cb750e4827f14b36ac141acc631b5b74cc7c8ca459,18oqznRtLvnuA6v4NkdqxP5RWvhFNsn9W7,0.00005000,0.00002600,Q2uWVB
220,048294843b992119488c3c49d911616adadb7a9ee4f548a35bb8cc3bfb7563c9,1KR8m1MxzfXpX6VgjpEXk4QxoBELdiSdxi,0.00006000,0.00002600,VEJYCZ
220,1f028200d522b400dc7a5dc82e115460af4ddb66d1bbbe7587de431f6e3701fd,1B9pHUQB9dCVxuP5eJ2NATimkeo1m7PBMm,0.00005000,0.00002600,SUNBHSH
262,a7096f5761fb5af7589b7f9cb07625cb9666df7788ae6daa4034a3c4e0a1023c,1A6XeQDupdypBHCESRtw3qPaQAVAhbLpRJ,0.00005000,0.00009614,sffoee5
263,43809fb7f06af14cb3b837a3083f25dde9028c0eca8c7acfd5599c72f214a904,14ie6tGjNbcSNgvxGk322G8T7S73if3BjT,0.00005000,0.00002600,74972
264,2a59f099c450335cdf66bd109a47e259ad81795cd3fe698f2dfa220b28521033,1GEdu59nayfZgNd9uDBvKVTUU9t3kEHhoa,0.00005000,0.00002600,18112
265,e31d392d1ed6f4fe1b5ca239b6fd4ad440994a7afbba664e71bc756a99a7cbc1,18AqjK3jXnr9Y6msRhvMsonjUGodqZY3fQ,0.00006000,0.00003800,anY1E34k
266,98cf5400923a4c393210ed0e9be33bb0923c3f3e38878a7e7ab7ffd32293c544,14ouzab35GhJxYXNJsvFFapsFD4mbxNFbV,0.00004411,0.00004100,p3ey8piq
266,9e6c78245624e27c4b0823dccc26abb8254886d35f0fc5de2b02e0e50c6b053f,1Q6V2bujqqQ1jwZDLDgMzLanVEfke2FSL1,0.00005000,0.00003800,wkkob
266,87b7261fea3732736e6b797cdd2c09b09af31b90c814c004734c264b253d0874,1HUBpg7jn6tVRbYSTiCbzbpNLeYUsDuNRn,0.00005000,0.00003800,02366
266,6722a2c4c5c4a5961b107b37d3845e9fec078b97adf218614dcd3ac228457301,1KhQVcXxcgXfPmJRwBN8se4fwyNztSpQa2,0.00006000,0.00003800,60297959
266,09ff91b7f190510b178579a54f01df2ffea44fc5ed15d9ceb2bed8bd5bc4a497,1DUmapSg7K6pjZDm1bLMkBSMvVEWVrjhzv,0.00004880,0.00004100,xknl6j
266,7308a768c927628c3c16055579b92763133c41a8c95353e91b1234c328cd3590,1AD1QpvUruUEZafxtvuwgM1kyzyz4nLr8F,0.00020000,0.00044720,mqmjvyq
266,bae511856aa9404e0e7949b4b2b883ef25894a4e6fbf1dfe28728f9df594f09e,149Q7UTNL2c76r4D2vVUVXKWQqC1n2Bg78,0.00004742,0.00017480,mqmjvyq
266,3638f54e502f291c9da03b25b099caa60018ab19de1c324bd32ef288768ce9b5,1KKUqdWHWW4gawatKdvQWD4F1g6RtmmvaN,0.00004347,0.00004100,oPH1Qe
266,b9479c3e2f268e808d4ee70a76182d3d8911a55a21c4b7b105e057725aff44f8,1Mmmw2BL6QTVo1HbdpSxKcHNfRaKNKSCaM,0.00004403,0.00004100,57960
268,a8fc637e9f9ad43c329c88d3310b3f97c2a63be3d3b9d2bcb81e9389a53386d4,1DGDxfgwFGtu8z1MMcMfD3pHiyELpzh5RG,0.00400000,0.00002600,MgleVh1g
268,4699725a68fb3225837842180897257e2e6660f258a1202b5e668f04bedd5bfd,15i76cSVEpj5Mmp7L6RjQEAQB9rGbQjSqv,0.00212400,0.00004380,MgleVh1g
268,4cc28e8f95ff331aaa08cffc0ceb4d91372e8b23c7386a40a2eb968bf0c7e4eb,1QK8MFeVUaE8xoTJW2m1PTs55Q43cyR8GU,0.00400000,0.00002600,575613
