gh,transaction,address,tradingfee,miningfee,tradeid
539,c10d6055fec0303bc5fdc86aea52ff4a68e075991051caaaf115c6c9ea8baf6c,,0,0,0494188
539,e24fead657122e6a22155493a2a0d29f07256747560d9bc7490a60f9d88cfaca,,0,0,0494188
534,c70a19ea185828bc3903b2f913c3f2611fdaf432fb9299b833cb4a689caa62d7,,0,0,23718758
534,f9fab0c120572675c84eee945ad71ab8dd1dd114c9ec4fba190e0f7a703dfcc9,,0,0,23718758
538,341da961666f530ac866c5bdb5482735677016dc9de14d529a5f73c307c01aa1,bc1qvln8vz4qtfrwhpl88vem4c5eqaarehzyppcz2h,0.00006250,0.00002600,0227356
538,b192c10509cc7d594ed8a4c6b9ca791c9b1aec56783ca759d492cd8e468327d9,,0,0,0227356
565,e560e5e4717f95f55c6e51fdba6fc6e2c5ae3b6baab330b5b4af08ef23f9692f,,0,0,68507
565,N/A,,0,0,68507
563,eb4ae2d26a868d248b9cc19ab88e298bfbdcd9132e97f501fc31e2246f2a190e,,0,0,qcigqSLD
557,cb8c5d26f55e60d67495c265201b431a353863457111dda5ad0fc4dbb036c990,,0,0,emnjpkfw
536,5010fa68b6e5f7a870a5d41c683d12dcbc52547ba6d95116f4d74dea2f30c46c,1H4QA1XYQV3uDSsoDWET8VKiEALo72zwUM,0.01057596,0.00043197,etffra
