gh,transaction,address,tradingfee,miningfee,tradeid
222,626f6f2a639cbca7829c9b1caec8bd46c51a2182aad1835da2ada4514939209a,1ErneXty3Pmc963icrYabZNWcdRBLNRFwJ,0.00200000,0.00006240,LBUGUGC
222,6b7e4da1cf04dab59c7efc3b014550db95cfd202c207128b362de152a55ed531,1McexBiSgJyTy73BX2XrYHmrvpBrJpvueV,0.00600000,0.00009120,LBUGUGC
224,f33fd17852b28b53d95dff72c3e86927c059d2e25e0c9a48f73064f1709829c8,1BCtXcP3gc7FygZMegeKUPsogo68aKRSPA,0.00200000,0.00006240,83101
224,7f19ab81a87b55b70a2b2713f98bc1265fcd1bf178a44d8364107a02ebd29d18,13Y7J4qTSAwkdmihmczDx8Uv4WSkJHBKmh,0.00600000,0.00009120,83101
225,e32b3ab53202ab64b1f03a4b843a659c4dfe984274ea7e91e5a6b8d5739ce0bc,1936NB99p2LAmREdgnNWTty87S9DxtiiFJ,0.00200000,0.00006760,reunhrcf
225,5b814e03961672448afcfa184335d57e76400911c005a4393a6696581fa3e8c9,17DHGqFg83L5SJGkHhrikHvtwvNEtTiiXQ,0.00600000,0.00009880,reunhrcf
226,536ffed37f88db4a8460c667661a8b2153c298a0ca777ed8fdf0acca81c788fe,1Frynx5ygcfNPcu9MBAzdvSLaAJvVrahd4,0.00100000,0.00009360,ipuqygj
226,625336bd916561fc8b127be06de382d725cc78a15380f285bf1e135e98a4145b,1GAKTpQsjjYD1y2CKXoHqYqNN91QWc8Txf,0.00300000,0.00011520,ipuqygj
227,72f44d7ec2d68a80c0119463591a9445dedcad0307012b2606267d389f1cb359,1DLRqJ279WxMgrscVGztyt9ZxAXtFXy5Nq,0.00100000,0.00008320,3095641
227,2dbce4529f256900f4ac80631fe214be0067dc2b3736f99d09253168e91abe16,1MLeWbmnoB194eVkygrNV7Lp7DGgHzkxca,0.00300000,0.00011616,3095641
228,d7c38997fac201b263042e28173245755c6ca9df1e9a3df2a2eafb622da5a5c6,1Mc62E3tTbyB5ogzecTMib5iYfwk3i3AAy,0.00100000,0.00012210,HWMVH
228,4b2557d35ee51480f698a7356cdd6896df7c77dd2139c9a8012fd5e9d91d02d9,17t2WwdwBKCTYfkt8M7cqAHoX1i9MLDKA3,0.00300000,0.00009600,HWMVH
229,f7d3d89a9957aea6938f15799a036e0ef5eb6133ba25aaedb84bcbe685b959f9,1Aa88mmHMTWwNH9vrs8pFiRriD7oZBgreX,0.00010000,0.00009360,gdxajqq
230,16e772034147929caa6f07717a874babef50447fc5a05675d9877b3df7b97b08,1L1znMzaNyaKqySFqgtQiQrKugkomUSoLi,0.00010000,0.00004680,00444815
231,7a2b3c8c17b6a9aaa17a15a49769d94a68c6ea7586cfb4f08ba270fe0e5deafe,18pkLHxcsgdP6ttBNqyYzsZGUVEj46z61V,0.00010000,0.00005200,QWORiPP
232,c679114e33a242d5a4b440c86d6904099556d54c8413635a79b4a16f1dfa9783,14iXvGWvTtn9CJAfCEBWsypGFqNAub6Jy8,0.00010000,0.00006760,AQAZMH
232,b919ea5cc7bbdfb7e33ab6e52928af4af06b046808621c042c8657b9d81c2baf,13vpPWPYAZS2R6rnxMLknUo9QmzzbUgjp8,0.00030000,0.00010240,AQAZMH
233,d2483af8c492b246c851d1f1469e2ad05a7ad2c5c05b93f07d463cc172476855,16Q5ht4iW17D8by6931F3xdWTKrK2EGAw8,0.00005000,0.00015512,qRmuN
234,867e3c86572778da4e14ad7dd7a7e2d8f62ec69c7677f894437424cdef6301ef,1MPLYDzGUGtmRUo1SM1kxhyPdZVnzhAFKS,0.00009000,0.00060900,10441
234,24e10178050fe4fd2edeab602478fea1c47ff39a43ab1c597a4bd68be098022c,1NLUo6mgN15HwMXpnF5MX4GfkYMgkfuERB,0.00027000,0.00048640,10441
235,432bf17e27d5736fc493909c373dfdff6d2ad7265018c7e33abb6008d5343c79,1GbG5L9G7oVtXadeX4nZcd7ERBpiDdFKZX,0.00100000,0.00039000,82826648
236,c3656642cc9bd4d1f79b19f04a63db4cc129d8f56646209d51ec9d9288577527,11EXJCJRFpvt5SeqQ87pQfEWMYpykirdM,0.00100000,0.00060088,89649
237,00d928e67735e52596b93f5863bb552a058ba5a116b70ffdc3781a3f04752584,1161rwpetQYn7iZF9QpntNKKg2SdroqN4A,0.00007450,0.00012210,PVByYn
238,a9f20416a6c8c709ceb073cc4448098ba76824267c4b773d3bd28ccb8eee6236,13ErPbnyKrsLfB49RixoZe7943FoQFazKB,0.00010000,0.00039000,NN7Xq
238,e4223847df802ec80e32643f7d6547529fa8d02f9a46360742d326fb56221479,1WFRBBeJL8WknUuZpxJu1V7auscJywEAm,0.00030000,0.00003800,NN7Xq
241,b21df7d0e51bd065d2dce7947b073a609527d872887e73877249ed092baaf098,1NpTgFMqWsr6mCZRBxG1FGGaS9JPyzirgS,0.00015010,0.00038480,84595
242,9975c92ce6e0af64986376c0d36861de24f150abd86cd1c78565e5792b53c834,1KnqwsWSB2ogDry9CNGwcT8WeRCJTm1ywy,0.00014990,0.00013000,3940305
243,081a5e2ca4958db8d2a4ac5fbadf27f837856b93f5acd2fd35d0d70eb0ae4a6e,1EbQt4iUM2QovS4qxYtEnoFw7AJU5ABHwT,0.00020010,0.00033960,kd3mUhm
244,d317f0dce82b7a9c3929c88af7969cf9337508c7d4b4e6ad544c2dfc0b4ff274,1NjzxAPQRxPRY3XuNbQpes5CxySHcK8B5,0.00005000,0.00004160,HSJPIRO
245,edaf09109d76c6a553ff4e3248447a1f4fbea8aa2c3d7f558ee0560e9e58040f,17PhXKFjEx2PnrRxTVJxzR9mD3w9Fq7Ufd,0.00012230,0.00012166,5901411
246,9a508ba070a84eb1604cee0309abf0c368e78acbf286a7eb163ec80b3a2e9e1a,1GZuX5eutgj9oQVsQtTmYjWbimnYCYnCjQ,0.00005000,0.00016640,PJGJtVg
249,2f661bfafd067ca779903994463d45d12b1013fe24a7149e6c0e4de2585be1e0,1HB2otVAQNB6WGS5wt34UngSje6uWtKT34,0.00024990,0.00009880,hkuthz
250,d3d7edadd482caf18f40282bd273aebab325dfa99bbafd0af2775a07e877b217,1Bz8sXR1GhfkomUdD6Ej1JakyX4FqiFbdi,0.00024990,0.00020400,9296273
251,3b24babc0223b0df21f48f7cd0416fc4dfba6d2ac18278365ad7b346448d47b6,1K8UHeNN1BtgB1NXjHci2XNB51DJYXeuMr,0.00200000,0.00006760,hjgv9
251,1bae604aba42a426acc2cdeb5abf28af1bea6260384a38e87f7b40c22a702333,1F5rabaNdvHajiDS2bVu6XecqYLyv87Sqp,0.00600000,0.00009880,hjgv9
251,a2b0cdebd2dfa9e2652c3af00b49395b55aaed7351b618c15168857e9fc64471,18qqthgcNt3DskcqCqGRzUhm5wsm2xDuhQ,0.00200000,0.00006240,YGRVRT
251,0a0c89673f7643b711677b14cc55c2e62426b66ac1d41f47fff3e8845655ad5c,14GNdnRVcWxoTKaUyF2XwZAYS5gDapDFRc,0.00600000,0.00009120,YGRVRT
251,3f63328356a209516e688971bdf283c5f6f1932bcbcc960c40058066f1e23609,1JStrE9fyJP282kf2sEkrn1LUt4WjSTiRy,0.00200000,0.00006240,JGFYOF
251,938df91988b239bb37c7a77fb8e2842066db477d96732912b35cc3cc1affccff,1BNUmSK4SA28v82nC76FJLTuLHdKbpnFxV,0.00600000,0.00009120,JGFYOF
251,5724b202a983afc92ebc6965203ce8284cd964f084384a271d33acafe84d1e4d,1DmLAsjnS5p6RoRvJ7qWxDSG3EV7ELVkqU,0.00200000,0.00006240,79961
251,216b7881627abdcdc8b86604b7a35b101a25c37b86235ea80194b7fb00703a3d,1MJMAciSXqXXsgbkETbpPaHuwcv3yF4B6f,0.00600000,0.00009120,79961
251,8be41a5eada9cb01717f9185ba201ca6f3a434d475e02a000ac63bb3cd3143ec,1JatGmWoJfne5gsjPcvJsB3zVNUUkqwmfn,0.00200000,0.00006240,17946
251,e78d820963515396119e3885d93e6cd3f0337b1cc1aa3d98a06e765e90713f07,14vFniquLQD3GxKS3gpWcPE4ZbV2GeZWfu,0.00600000,0.00009120,17946
251,9ac06d710fdb2442c7bf856374dd5856774252cf5b268e3b7dfadb3e9fdd5b70,1Hep5iFXLSFfHujVLeA9ZNB5RaibBpt9C7,0.00200000,0.00006240,64136721
251,0f7aa29b14d69203307ffaa1b9748c30d5630ed3290bef7ccb2de5d431c670ad,1L3jWxcCJbtbfJoHHM9M1vRSA6nVikRW3B,0.00600000,0.00009120,64136721
251,deadbe4032137ea73d1c894c2537a7e98f533c6eaf86b8880f8c6b65da6c4784,1D1EnUhaoenxjVs3BnzssTpW7HZegcZ1RK,0.00200000,0.00005200,onanux3
251,0c77e57ef84e72b7a7ed5472ca27a2c5fb75f08cbf03f0b2c5899748d49aa5ef,1LsRkhX4yDvsUqZh2egCQDdeG69kGyZVYA,0.00600000,0.00006840,87732
251,bf85035fe02953f9c194e46dbb34ac1a3868d25717bf78ce50fcf62d29e39795,15mpETD4vyANBtioybkdeJivCLLTsZ7Zii,0.00600000,0.00019000,1815987
251,b119540611b156071309df33509f7ad61be69157b9822d4319a0009a48cb0b05,1JVCBV4jZYxKhNu42AU3Pzwsgcqyx2gcrh,0.00038316,0.00018240,85560987
