gh,transaction,address,tradingfee,miningfee,tradeid
204,f8f073407fdfa2feb31c0aca7bfc12be90e688aacf33c1ae44b0a07b3eebe326,1N3bmpPCDVD63rbPizbcDSPytXnVr4mRdf,0.00100000,0.00008320,85183317
204,4a4747d00a4aea069c1b86f086299b2c3478b33eab3860e86a2a066054d7381d,1JKGK8NUw8y66o46ZCut9PyaiVkbLkc1Pi,0.00300000,0.00010880,85183317
205,7b8541826149424d20e06fad099164f6782626e14397f9375b5a4ffec39c9b25,1McF1Y5o4w8FiyRxvFoFaBE33d3ZujmQaT,0.00005000,0.00011080,IOXOJC
205,9d37d5b0adac33f9f6694886a121539e3bfd7d34cff0383bfd94e648926e1cad,1LXQmhUuLDpYgDfT4ZS5DqLH6xTRe6ygPx,0.00013260,0.00007680,IOXOJC
208,940bb03ceaaf79786c09daaf6a6e367dc774c429fdd3a40f626593d053af2c72,1PYHYsvrWxS5LJtfqeLnRHq9YXoGprrA7w,0.00025000,0.00015600,nUe3SN4
206,760a1e62f32d21926f3e790b662c5003c4d90ed8127ebc6bca5bab49b5c30a90,1DYE7Em4YijjwKSnNfB257RudwddVV7AYs,0.00009650,0.00003640,DDEVM
210,ae7b9225e326320cd058052615b4c86708207446511149e9c6e1a9fb1a77bc8f,187hsotQsmdXzPZH9FxGdarKCN5dzbnSCm,0.00007010,0.00006240,LWDBOKE
211,96c82d6431669f2a83b055aa047d32331188fb6b6792039f338804a15bf10386,1HAwrsVwpQpV3ZmEXeCz3K8aHo3MEPhiyG,0.00007010,0.00005200,jnvmc
213,af0c847154debe95220f9ce2c3aeb6027d4558f0032e7111c280a5f1bdb0f7da,1M5mQ9rcwUBnVk1yHdLcoerabx7n5N2ifH,0.00005000,0.00006240,ejnfhlc
213,074c7cc4fbb7aa984a97bb2676c6347e938f4c562c91e5b64d1aea90aa23008c,1NsTSSGcBJxoFVGsikmefMBwd6fKJn7Yz3,0.00010800,0.00008360,ejnfhlc
214,6f51b5cae13ba054035cf0d7004387e917ae5cfc36d8b6514b03695deed8402d,1LrzMrHisTqAEpKb6GfGAQt3rfjxqMbGSM,0.00025010,0.00014652,rg27w
215,b7212eeac9841acbad8591c3ed10b0690d0ba57585bb1bb0dba292bcaff999c5,12tgc7GVN8yqyEZzHJBpGxW7H7edCfGBFe,0.00005000,0.00006760,639309
215,09a64f1ebbc1de67001886e7fe790e7ed6e5835af4346fa1e4ff73b706038313,1D4u479jmsj7iQTSTSptsepZsD2LuoSvom,0.00120000,0.00007680,639309
215,02f3031952ad703a7356c7bc680d479d301257f5fcadf32baa16df1b0ec47eef,1NDPfKdpbuBsrnr83p5fgC1bhm3n482suv,0.00120000,0.00006400,639309
216,5b8a1d652995b67061be6cbd73e58cb248a3d6114c93a17df68b5860695641cb,1JYKAaHgcvaYcfN9QnmxouvDVAgKjWm9Ew,0.00006000,0.00003120,46734667
216,3a048b1557943db05a1edb13c42d705be18a6d5972173ec26406ebbfd7b27fe9,1GhFDTTLM7RGoomMmwPYLmprq3AgdTEDKV,0.00018000,0.00004560,46734667
217,d26dd7934acb747b10e8cce3ef829307a615b1d32ac437ca68474cf874b8eff4,1CTd5k95BofFdNSweNTMCNCdTW9nW8VTqk,0.00005000,0.00005200,mnhnhtb
219,f0e709e683489f1f82773abba1772eab6fd44e757cacc1cefdd89b6dbaab0de5,13VqFcmcV12uLumLrBX2G8mvsZqEYPvjS3,0.00100000,0.00006760,cul50x
219,c667c2c99ca419a5db728a7b9da4ef39c82a46b424da47521f3b99a7d2500d21,1CoPUr8KLjw2tfKeX9ChCDvyJTV2jTFVEX,0.00300000,0.00014440,cul50x
