gh,transaction,address,tradingfee,miningfee,tradeid
514,57b7b89a33a9103a0e808ce2781370375d8ab1198381a2a894c0f5e754da4834,1CQnE3WiEvpkmbjx5EPHhF4z8KVxTwCG8P,0.00005000,0.00030680,KJVEg
511,8dd687a42349898d73490cff5fcd06da96790c7d8203d2724c9685214569e7c3,14odvDbgiY6yJR44sVHtHfZda7w2V22q9B,0.00073993,0.00004100,kvkrfpa
511,fd67bad48b48cad4efaa87d48c05e7473ebf177a2b121d20c47efa55a07d87fe,1C8yS46mj8eYspTPK8FV3PJqrA4krRqFek,0.00007000,0.00004560,kvkrfpa
508,d6e476930614e52a9f78d4549798f88d40470daf0d9985e2ba0303130ebb90ad,16pniwLRaBLcSZndNeXEr2EnGY1Jz4SjCc,0.00005000,0.00002600,9749404
510,71756b228dce4f1bd6c4e4d1382af88543cdf05d37a649b3690f2b234b036e7f,13eX4uLn8ssYEQkiTJTwkV9P7tcNbbr6iL,0.00010000,0.00010920,FKQPH
