gh,transaction,address,tradingfee,miningfee,tradeid
133,5b9c8337bb983508f9153b260ecf6ad4951e65282c2ea536ea486a1c907db60f,1Dsiy6MpBFW62ALd3QxD8YVFWrppJm74aK,0.00012500,0.00004356,itncodgr
132,20a4c582f4aca6189935ce2e861574cdcdf4165fdbe4efa2302c7fc485aef303,1QGFB4XytRCZsbEe5rpgigtcVkyioPeRo1,0.00012000,0.00003200,IDZVJP
129,6024ba60612952bd8c45861c598561f21052c0e0441ad644979697892a24c479,15p9Hk4zxp5qhtAZo8tNQ1cFzkaxzqhv6F,0.00557500,0.00012188,70284065
106,51552c1807193d401ba46a53e30991e62509c443aecf8d55c54fa45bc7b79934,1JxC1dPF4m6wbgs49mRehsLTFoBzKsG45W,0.00010000,0.00004800,S7cTwQp
108,7afdf3ad84013624557779de983d3a15c2f7b3d7a0a319a2cbdaaef0d0d62ef6,1CBMPWMbQQu2FMyYfLEBrMbyPRcUKhD3Yp,0.00020000,0.00009600,em8pkj
107,8625fe8a4b86a311c92f4655ddec102172bedfee5e08bceda908434090aba727,14bwBqiHmoKm3wQLji8AfAP97sZ5jdpEMt,0.00012500,0.00003200,GRKVTEOX
109,2f65b7705470488a10b9c41dc4bd8435eb6c698385487ef3041cf3d38e92dad7,18crbsUoxJLGPkNCXdCAUVDPMYa3TbewXZ,0.00012500,0.00003200,YLRWS
110,80469c5a735f0c25ed6681d350f9a455723f0714b0331b19a43a755219f7f579,13ohkY4hLNxumjMryPa5LCnrgCPChnhLXp,0.00015400,0.00003200,iggri
111,126e39c16e42187b6d6d7727f6afff612aaa4febce4a5c8236655c45ac33e6d1,18VfBh7WveEEFHQ29xCUhYgcNFFeWDYoN4,0.00046000,0.00003630,97jng5u8
113,fb912f142c0c6f0bb256fe797837a835f9cacad9c83cebf203376f24f3df1f87,157Zp6HfMdPBJNtSoPa6DajvtFD6TCVH92,0.00016000,0.00003200,49859
115,4f652f9aff74e4934253d4439a4b4abc1fdb2b9320b15bd8d2988e146b6f68b4,1B8WE87s1qXZhCDZP6c8UVzCUnB9n27JeW,0.00021000,0.00003200,mX1Y5KRf
114,595290e98f01a31e4df5ed9bbe6e7e50cd9c52ffda38cb65d4168b8ca79f19fb,1Nqma8qniYm84jbP1CyhPTQDjyQpKHHj2w,0.00034600,0.00004080,UlxCfWm
116,62ad836dd22eea8dbb737b7e7a7ad2e0fabe008815b35b3b9eb0ae5fe0d5f903,14PKFHfEndxNoMJhwFpwFpvyDC7MvoW3KW,0.00039500,0.00008510,TxYOw
116,73792a1bb311a9bd9d1ae3e39e09524de43a9e9ece3979788b5914c13545c645,19LVFeBiiHyTchuN5bmUKND6TiDGVjSTud,0.00012500,0.00003200,TxYOw
118,1abea7153f4b43a598d88b4e58c3a83163f845f858a4c2f4f5d8b8ece8f0efdb,1F5ecdPPa9wtCoiinosE5En1ZU5gtsXfge,0.00008000,0.00003200,jaktkbwq
119,f5b891b07cccc80845afc6e9746e29c6f9e46789b97c05c09b1c40d877cc862f,1L6SaNwDorxqSfmPE4RYY793zKft154ne9,0.00020000,0.00003200,10472
120,ab78a9f263d9f27497a6d74c4341cffcf7ae6f68ebf38cc7eb8ec11f621394fb,1MHGYF4jE9D6QdztAgoPwDP1ps1e8DnHcC,0.00017700,0.00002600,kvsomcba
121,c361683b07c83345bfe421abf1bcb922cee000b94ac747e2dcc1dcd75ca9a2e6,14ZukU2eoAC2QCufoRLmoQ69sYusQLBfss,0.00015600,0.00002600,WPREIBWQ
121,b175e56b3a6278a364746f0719a5ea751f35d0b31ddf3884589fbffc1292d60d,17A5BSh9WVRawMTsnZwfMh9KyMKBAzzYCz,0.00011000,0.00003200,WPREIBWQ
128,5c1afafc5cecf69cffeeceddd784d4f2b048bb42212b1a4aa7d374e19fc8ae0a,1C2tw8eX9dmfxm5qmjBomcKYs7P3zig9Ej,0.00012500,0.00003200,K3i87
125,84015b3f973acbb03ee0bf8bae5bc452fd1e7fffd14ea818287b802612e73cca,1BTZQRfxFAwH43iPiYfp4VBuF4vZSWaeWQ,0.00012500,0.00012160,lbdjp6jm
126,c14bb2479a111a98e0f3cde98ed48ce77895bc1bf52ebee7e8c94dab727b5f43,1GsWFVkM3PSRNVAUxbWNSaQWc4u4Yw7G8D,0.00012500,0.00003630,042690
127,ec2d6538cbf529434c109337df31a92f88059cf5a152e5d91d2d61dd17d7b5ac,1ACAzffTpF4yzKuL4pAqrw8h1D587nT4mK,0.00006900,0.00002600,ccqdnib
131,e5f3aaec6b62fd6d75e281f49fedc309e47acc26faf642b80d9a30583eb2b049,158idBvSevTtWP95n2m1Ci5EC5V622KB99,0.00006000,0.00003200,agvUIa
130,a80317e25e8b975af1ed3d337185fa73f186437dabdbda88d5a195184f451b2a,1K7fymB28J8eJPza1D7s2KG7zUsyRJN7u3,0.00565700,0.00004070,Xo27vzoy
130,9849425da8c0a13f7382cfdd97082814c9241c6ce6f34111666098de003594be,18GhjY5ZGNvvBjFyjb7QtuGPeZx98Pib52,0.00009400,0.00005100,Xo27vzoy
134,32c0da6c4622ac2564622c45a5a850a3adaa8ef786964ef2c378ed4ff934f2ff,1KAAg7JoberyCKrer1JKog9LFfPCczkEHp,0.00005000,0.00005550,71959617
134,8786ae2b8565645880e7dd1d8710014c33c4260745363174f8ed8b7c3be37da7,1G6UxVJTxChA2jiTwnCuRWYTdyRZZcSS67,0.00008400,0.00003200,71959617
135,e16c6106fcb13bec1bba28f54a9d3a2c34f32888cb1bdde37e6dea9ecdef36a8,16TEN9mRCYggjAi6QiNykMXLVqh6M29p1q,0.00005000,0.00002600,XKLOH
136,05b2c1f77503d8baff7e07664d79684834ffaed98387864efed18398057333c7,1HGv5S34w8PSqtb4g61jnWqxbRqDdsioq,0.00200000,0.00003640,CEVGHNG
136,ef6e35908c6153685174ba98e25872354223589326e36c9f6157cb4e854f52b9,1EVJGGxTWTBxFj9qveRFJkJjJ1Mj5eqAi8,0.00005000,0.00002600,CEVGHNG
136,f2915e12f48f9b14dafe7373e0da5f1423d6834924ba8754bb975ec7febe757b,1NHn6m5qx744m1bGUvTPcdk76KSAuqDt7t,0.00040000,0.00003200,ytwom6
136,768ad75fa08cfc47fe04a59c8880f120e69e881c52f25efe3ca75a2d8b1b1284,17CTE8FCUjGwHjqT25vUEuxspbbLRcxZAx,0.00005000,0.00002600,ytwom6
137,6813c33e76bef5c33723cbf5e968577f12b7b31eb874225e00ae67eed68eaa69,1Mft9SZ8khPVVsEzY6sHJXuQV8n3hTj27T,0.00010000,0.00003200,BJPZHDY
137,d81ef07166c34032ff98179e0ed39abc095e513a22370dfb7149d4e38fcc87fe,17JPyQGDFkdQLfGyxsgrJVwrspjhc4atDS,0.00005000,0.00002600,BJPZHDY
140,9ebb0132d5f88d388c9b859127fc4ff062a39510bd60dcf43a76ab02257ac71d,17MNZRQZUTu1Gs3DNmSgXp5gpU6STGrqKb,0.00005000,0.00002600,51289674
140,4bc0fc7c401ba456c6efe0be4f733d2eacee5fcef4a7a32f839683d7b8b182db,1NitjyW7LXqUDme1uYKUo76gQxgwaygZfG,0.00016000,0.00003200,51289674
141,621c468c9b67f271e649561c7edb225d271080a907b855f2d263e4dec208a319,1MAc2e6UctzohLU6spHBnTTqjpVA9yfNRP,0.00005000,0.00002600,4955784
141,734cc6e4dad11324fc0519e663cab461e2abd6a73fc33ff6dc73af54d27d45d8,12yJXhxF7aBw8xNoQ7vxTGz5Ac6fecxNU2,0.00008000,0.00008960,4955784
142,ecd70a7e3cc266522d85adfafc278ff410320f5f916fd118e91705a3cc426bdd,1BT6afDfKr8cV3971pGmJ5k2fCy1MN8Gok,0.00005000,0.00002600,5021131
142,95fc63ae3db6ddd93df847719ee1243356bf4888b320bdc90faf9e0c1e3e33c0,1NjgtMxP14ngjNchYwRRfYjej8Cp1C6UUh,0.00007980,0.00003200,5021131
138,d4cf65a2ae7f4b9ea684b5c3b3283a944d408e008d5e5fedb0e7fcf49a1de80d,1KW3jo2jAL63iHKcR6BpfL7VidHrXR71W9,0.00009800,0.00002600,BCGDKWC
138,51513e1a3e6ed1dcb47e27e6f5c058513e7d674bd3ec5d0419964d2b3c94e018,1BocLsBGpDnuRxe1Z4qkUomjzQ4sckwa9L,0.00005000,0.00003200,BCGDKWC
138,d4cf65a2ae7f4b9ea684b5c3b3283a944d408e008d5e5fedb0e7fcf49a1de80d,1KW3jo2jAL63iHKcR6BpfL7VidHrXR71W9,0.00009800,0.00002600,BCGDKWC
138,8ed04f81ed2c103e31407a5e08e11ae6793505cabbb929c93a63bb684cb4983f,12Y6mVSNmHjnUH4EuYAVfvUC9gxqUCUqUS,0.00005000,0.00003840,BCGDKWC
144,926ef3f40baba8730816f3b35551ae0cc624a84a9c8ab96ac4f61149b1660e32,1E4TLp7vrsVJLeZR7dQjdGpk9yRyHbz5n2,0.00017600,0.00002600,YfhmuL
144,43b63ee8d1eb33171e89e53c4e0e79e760da28a6092cb64fa20bf6c29caccd15,1Md1ry495NKp9n5K6xCSLnEApWsiRrdPpC,0.00005020,0.00004370,YfhmuL
103,0c1f269971c4b593d0e60eac612c1037728e71a2361866023b5e05a72e18812d,1FzVWt6y6kLNmZ2DWpJrQcfnt3JdcnmLJ,0.00005000,0.00002600,X87CIO
102,a8c71069a0ec258aaa17e85c2586c347e3eef18cf084ccf4c2a7fa2d56a9d623,1J7tpRztZKs35cr5zswUfwse6qDwSDqBZm,0.00008000,0.00003200,85774
