gh,transaction,address,tradingfee,miningfee,tradeid
174,a0018a98bb7cd67d933070c163118e453195478a02121c8d8eda281f28e6b7a1,1dyZqtrXgioeFaxwa9dfDs8Y1iMwPRUDE,0.00200000,0.00010880,pJUAJmJ
175,63ad31eb9b033688a9b5b755b17f444bc8347e24e43d4aaaefcb2a4b2ebb1799,1ZKNaMDPMPWDV92jz9cVSa47GiMJaFMwo,0.00200000,0.00010240,n287S
176,8b2a4a8896064e7ff647fc49f7815177379aabd41bc83ab2e2e32c4fda1957cb,1K8mEA4khSneXoM12zPrftaMWE6AbxkMQE,0.00200000,0.00010880,PQaSpr
177,c1897b7ce7e4c4d582b7ac76de36e63b16bcfbab3547b84148c5dc2bd8c0b6a2,18hJ56njo6jBanNcKuwhQmPnTqC6FDr5q6,0.00200000,0.00010880,cpdhrz
178,0899347d755a22158700c15bec3d9af4783179dbf6aa2090d9df49e31d54b355,1FR4WLFsgUnFvnbJN46dKHeafL1tHHyrzZ,0.00308500,0.00014560,9fbwvkl
178,f302372e0ae26cf226e4ca55535eab101798be9813e5f5af53b265de8ae521d9,1BKRNpwSy4h9beqEH4j46TSaxWgG8ZgvVz,0.00200000,0.00055100,9fbwvkl
179,44b9f0cfa66b7e8d5ddd3654ccd6a51e1d6f8febe1570516ce52ff646551d97c,1NEnhDctFvhDs36kfnWjw1cqsRBk5ToUqz,0.00005000,0.00010920,vQbzmK
179,dc7785f860f16b74e40f58b92c3aa4ff5187827654afe0b9547af21f74d2fb7a,1KhdSJuWjS2TCgoDgeixprbhkB23pAptMy,0.00200000,0.00011520,vQbzmK
180,2d2a0d5763104aa8631c19825e65ebfb3d2145f3833379ec7ad9a145cc92cf68,18WaUN9KdwBr96XmzTDtBdEsKi7jZUHyaA,0.00005000,0.00008840,vafqwcf
180,e1658e9202263cd5bbab05077933b7cc4a00ef10904dd019ba3b44bfbc0ffc34,15CqQcrdfNvCMTRc6326eJD5cQaxz3pEfb,0.00200000,0.00010880,vafqwcf
181,6c4e4101fb17dbe597b5bea7ae2f705041cb4f5991ab1296349a8148723c0707,1CLHwaBZrMEUBDDD9ciN5mkEt3eDYGmUjS,0.00005000,0.00005720,333283
181,2c8b2c136d227c34d786c43fa62e40261f698772520606f84e026a11f1342435,1EumfFTMCPfKs4d7w49CbDzRfpSzNR3d4t,0.00200000,0.00007040,333283,
182,6e38854fd6eaa162e5d0d419c2370da3281ade5146c5380643b8e53a7bd60cab,1GHk9H5SCJ3xFo3SHPfNc9t5qwwu1mEj6c,0.00005000,0.00008320,RSEJ4WZ
182,3c4f457e88b9e70b490fa01d7feeba10f97b669d0037cdc39d28928bb6611af7,14UDmD6MM8rSkbYEkzAtjFLDShrW4D9uaW,0.00005000,0.00009600,RSEJ4WZ
183,01f472801653b683314b40c012b5f441deecb2b4792a2ba7270ac82f2f01a37d,1H8yKGHhAyJ2pPhA9jaT3ixNTVnru5MZkC,0.00005000,0.00006760,NVZ5HMPI
183,9240979d5e80cf259e11572a52ec41531fdd222f56cb0aa06dc61e00d25c0f96,1DmJxmam5mAk29VBfGMDFffXE5YSskxWNw,0.00200000,0.00008320,NVZ5HMPI
184,3e798aa63f606078f00140d0ac7bcc8a7e3d84c2ed3990114811048a9f0ae828,17JfVTnzMDL6P1oMevERdqub7VMmTPLXLn,0.00005000,0.00003640,AKHjK2
184,a738021e1861d53ab6cd34de4e72b689398370f2a66928868804348528159595,1Mb5iu9dY2D481oJ5a2YCRSHRciKwVm4Nb,0.00200000,0.00005120,AKHjK2
186,201c317ef6da7faa953f5dd8f0454856cdceec6d7f6cf1d5e071f91d96db3e44,1AhADnwZHwMoZBADpNigZp32PU7NehEAfZ,0.00005000,0.00003640,LfIpr
186,dae458c476e3bdd79c6dea48989edf52b4eb048bb9d863a6e066bce599ebee31,1FPWsPgjiLi2nfeAdiKTWhKuUab7e2NTjM,0.00200000,0.00004480,LfIpr
